id,product_name,current_price,list_price,brand,category,cpu,ram,storage,screen_size,screen_resolution,os,software,average_rating,product_url
166,"Laptop Acer Gaming Nitro Lite 16 NL16 71G 71UJ - NH.D59SV.002 (i7 13620H, 16GB, 512GB, RTX 3050 6GB, Full HD+ 165Hz, Win11)",23590000.0,,Acer,Laptop,i7 13620H,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/acer-nitro-lite-16-nl16-71g-71uj-i7-nhd59sv002
167,"Laptop Lenovo IdeaPad Slim 5 OLED 14IRH10R - 83J0006DVN (Core 5 210H, 32GB, 512GB, WUXGA OLED, OfficeH24+365, Win11)",23790000.0,24290000.0,Lenovo,Laptop,N/A,32GB,512GB,N/A,WUXGA,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14irh10r-core-5-83j0006dvn
168,"Laptop Acer Gaming Aspire A515 58GM 53PZ - NX.KQ4SV.008 (i5 13420H, 8GB, 512GB, RTX 2050 4GB, Full HD, Win11)",15490000.0,20190000.0,Acer,Laptop,i5 13420H,8GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008
169,"Laptop Lenovo ThinkBook 16 G8 IRL - 21SH0097VN (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",21090000.0,23290000.0,Lenovo,Laptop,N/A,16GB,512GB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g8-irl-core-5-21sh0097vn
170,"Laptop MSI Gaming Cyborg 14 A13VE - 090VN (i7 13620H, 16GB, 512GB, RTX 4050 6GB, Full HD+ 144Hz, Win11)",25690000.0,27390000.0,MSI,Laptop,i7 13620H,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/msi-cyborg-14-a13ve-i7-090vn
171,"Laptop Dell 15 DC15250 - DC5I5357W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",17490000.0,19390000.0,Dell,Laptop,I5357W,16GB,512GB,N/A,Full HD,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-dc5i5357w1
172,"Laptop Asus Zenbook 14 UX3405CA - PZ187WS (Ultra 5 225H, 16GB, 512GB, 2.8K OLED 120Hz, Cảm ứng, OfficeH24+365, Win11)",28490000.0,31390000.0,Asus,Laptop,N/A,16GB,512GB,N/A,2.8K,Windows 11,OfficeH24+365,4.9,https://www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-5-pz187ws
173,"Laptop HP Pavilion 16 af0054TU - AY8C3PA (Ultra 5 125U, 16GB, 1TB, WUXGA, OfficeHS+365, Win11)",20490000.0,23790000.0,HP,Laptop,N/A,16GB,1TB,N/A,WUXGA,Windows 11,OfficeHS+365,5.0,https://www.thegioididong.com/laptop/hp-pavilion-16-af0054tu-ultra-5-ay8c3pa
174,"Laptop Asus Vivobook 16 X1605VA - MB360W (i5 1335U, 16GB, 512GB, WUXGA, Win11)",14890000.0,18490000.0,Asus,Laptop,i5 1335U,16GB,512GB,N/A,WUXGA,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w
175,"Laptop Dell Inspiron 14 5440 - 7FN5J (Core 7 150U, 16GB, 1TB, Full HD+, OfficeHS, Win11)",25490000.0,27490000.0,Dell,Laptop,Core 7 150U,16GB,1TB,N/A,Full HD,Windows 11,OfficeHS,5.0,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-7fn5j
