Tên,Giá,RAM,SSD
Lenovo ThinkPad E14 Gen 7 Ultra 5 225U (21SX005RVN),25.590.000₫,N/A,N/A
Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H (NX.J4YSV.001),17.690.000₫,N/A,N/A
HP Gaming VICTUS 16 s0173AX R5 7640HS (A9LG9PA),19.690.000₫,N/A,N/A
Asus TUF Gaming F15 FX507VU i7 13620H (LP186W),26.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3001DVN),20.690.000₫,N/A,N/A
MSI Vector 16 HX AI A2XWHG Ultra 7 255HX (010VN_32GB),50.690.000₫,N/A,N/A
MSI Katana 15 HX B14WEK i7 14650HX (027VN),34.690.000₫,N/A,N/A
HP Pavilion X360 14 ek2017TU Core 5 120U (9Z2V5PA),21.290.000₫,N/A,N/A
Asus Vivobook 14 X1404VA i5 1334U (NK771WS),14.990.000₫,N/A,N/A
Asus Vivobook 16 X1605VA i7 13620H (MB1875WS),17.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (N3520-i7U165W11SLU-BL),18.990.000₫,N/A,N/A
Dell Latitude 3450 i7 1355U (71058806),24.490.000₫,N/A,N/A
HP Pavilion X360 14 ek2013TU Core 7 150U (9Z2V4PA),23.790.000₫,N/A,N/A
Acer Nitro Lite 16 NL16 71G 71UJ i7 13620H (NH.D59SV.002),23.590.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10R Core 5 210H (83J0006DVN),23.790.000₫,N/A,N/A
Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008),15.490.000₫,N/A,N/A
Lenovo ThinkBook 16 G8 IRL Core 5 210H (21SH0097VN),21.090.000₫,N/A,N/A
MSI Gaming Cyborg 14 A13VE i7 13620H (090VN),25.690.000₫,N/A,N/A
Dell 15 DC15250 i5 1334U (DC5I5357W1),17.490.000₫,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 5 225H (PZ187WS),28.490.000₫,N/A,N/A
HP Pavilion 16 af0054TU Ultra 5 125U (AY8C3PA),20.490.000₫,N/A,N/A
Asus Vivobook 16 X1605VA i5 1335U (MB360W),14.890.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 7 150U (7FN5J),25.490.000₫,N/A,N/A
Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H (NX.J4YSV.002),19.190.000₫,N/A,N/A
HP Elitebook 635 Aero G11 R5 8640U (A8WS6PT),23.190.000₫,N/A,N/A
Lenovo Legion 5 15IRX10 i7 14700HX (83LY00A6VN),39.290.000₫,N/A,N/A
MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H (085VN),43.730.000₫,N/A,N/A
Lenovo Gaming Legion 5 15IRX10 i7 14700HX (83LY00HYVN),39.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (71054775),15.990.000₫,N/A,N/A
Dell Inspiron 7440 Core 7 150U (N7440-C7U161W11IBU),29.890.000₫,N/A,N/A
HP Probook 450 G10 i5 1335U (9H1N5PT),19.990.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),16.190.000₫,N/A,N/A
Asus TUF Gaming A15 FA506NCR R7 7435HS (HN097W),19.390.000₫,N/A,N/A
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),13.690.000₫,N/A,N/A
HP Elitebook 630 G10 i5 1335U (9J0B4PT),20.990.000₫,N/A,N/A
Lenovo V14 Core 5 120U (83HD0001VN),17.090.000₫,N/A,N/A
Lenovo ThinkBook 14 Ultra 7 255H (21SJ006YVN),30.290.000₫,N/A,N/A
Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),11.990.000₫,N/A,N/A
MSI Venture A14 AI+ A3HMG R5 AI 340 (004VN),25.190.000₫,N/A,N/A
HP Gaming VICTUS 15 fa2732TX i5 13420H (B85LPPA),23.190.000₫,N/A,N/A
Lenovo ThinkBook 14 G8 Core 5 210H (21SG007SVN),20.790.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11SLU-BL),21.990.000₫,N/A,N/A
Asus Vivobook 16 A1607CA Ultra 5 225H (MB038WS),19.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11BLU-FP),13.490.000₫,N/A,N/A
Lenovo ThinkPad E14 Gen 7 Ultra 5 225U (21SX005QVN),26.690.000₫,N/A,N/A
Asus ROG Strix G16 G614JU i7 13650HX (N3509W),34.190.000₫,N/A,N/A
HP OmniBook 5 AI 16 af1046TU Ultra 5 225U (BZ7Q8PA),23.790.000₫,N/A,N/A
